addr	timept	g	range
0	0.0	1.9288330078125e-05	15
0	0.1	1.9410400390624995e-05	15
0	0.01	1.9461669921874995e-05	15
0	1.0	1.8758544921874993e-05	15
0	100000.0	2.0544433593750007e-05	15
1	0.0	6.434814453124998e-05	51
1	0.01	6.480712890624999e-05	51
1	0.1	6.557617187499999e-05	51
1	4.0	6.419677734374998e-05	51
1	1.0	6.421630859375e-05	51
1	100000.0	6.170166015625e-05	51
2	0.01	1.2107543945312496e-05	9
2	1.0	1.0747680664062496e-05	9
2	100000.0	8.807373046875002e-06	9
2	0.0	1.2220458984374995e-05	9
2	0.1	1.0828857421874996e-05	9
3	1.0	5.8001708984374985e-06	4
3	0.0	5.614013671875e-06	4
3	0.1	5.240478515624999e-06	4
3	4.0	7.169799804687499e-06	4
3	0.01	5.597534179687498e-06	4
3	100000.0	1.22039794921875e-05	4
4	4.0	2.2707519531249992e-05	18
4	0.0	2.2531738281249993e-05	18
4	0.01	2.25634765625e-05	18
4	1.0	2.5225830078124993e-05	18
4	0.1	2.634155273437499e-05	18
4	100000.0	2.35595703125e-05	18
5	1.0	3.5687255859374984e-06	2
5	0.0	3.4521484375000016e-06	2
5	0.01	3.4463500976562513e-06	2
5	0.1	3.537292480468749e-06	2
5	4.0	3.7072753906249984e-06	2
5	100000.0	3.6141967773437485e-06	2
6	0.1	3.3642578124999995e-05	27
6	100000.0	3.474853515625e-05	27
6	0.01	3.4287109375e-05	27
6	0.0	3.467529296874999e-05	27
6	1.0	3.329833984375e-05	27
7	0.1	1.6688232421874993e-05	14
7	1.0	1.5043945312500004e-05	14
7	0.0	1.8240966796875e-05	14
7	100000.0	1.0390625000000004e-05	14
7	0.01	1.836669921875e-05	14
8	0.1	1.5234985351562493e-05	12
8	0.0	1.5329589843749993e-05	12
8	1.0	1.5045166015624995e-05	12
8	0.01	1.5512084960937492e-05	12
8	4.0	1.4781494140624994e-05	12
8	100000.0	1.3741455078125004e-05	12
9	100000.0	9.7149658203125e-06	7
9	1.0	5.335083007812498e-06	7
9	4.0	4.467163085937499e-06	7
9	0.0	9.843749999999997e-06	7
9	0.1	1.1535644531249995e-05	7
9	0.01	1.058837890625e-05	7
10	1.0	3.4997558593749994e-05	27
10	0.0	3.4940185546874985e-05	27
10	0.01	3.626098632812499e-05	27
10	0.1	3.575805664062499e-05	27
10	100000.0	3.658935546875e-05	27
11	4.0	4.595336914062499e-06	7
11	0.0	9.694824218749997e-06	7
11	1.0	7.535400390624997e-06	7
11	0.01	9.321289062499996e-06	7
11	0.1	8.636474609374998e-06	7
11	100000.0	1.353759765625e-05	7
12	100000.0	3.3358154296875e-05	29
12	1.0	3.652587890625e-05	29
12	0.0	3.695312500000001e-05	29
12	0.01	3.6823730468749984e-05	29
12	4.0	3.63232421875e-05	29
12	0.1	3.607666015625e-05	29
13	100000.0	4.560852050781252e-06	3
13	1.0	4.649353027343749e-06	3
13	0.0	4.696655273437499e-06	3
13	0.1	4.638671875e-06	3
13	0.01	4.720153808593748e-06	3
13	4.0	4.65911865234375e-06	3
14	0.01	3.365844726562499e-05	26
14	100000.0	3.3331298828125e-05	26
14	0.0	3.3375244140625e-05	26
14	1.0	3.1466064453124986e-05	26
14	0.1	3.2332763671875e-05	26
16	1.0	2.824707031249999e-05	15
16	100000.0	2.2027587890625e-05	15
16	0.0	1.9067382812500007e-05	15
16	0.01	2.0048828124999993e-05	15
16	0.1	2.5325927734374992e-05	15
17	0.01	3.1531982421875e-05	25
17	0.0	3.1440429687499995e-05	25
17	0.1	3.1716308593749986e-05	25
17	1.0	3.364501953125e-05	25
17	100000.0	3.2491455078125e-05	25
18	0.1	3.624511718749999e-05	29
18	1.0	3.761962890625e-05	29
18	0.0	3.7468261718749985e-05	29
18	0.01	3.8271484375e-05	29
18	100000.0	3.497802734375001e-05	29
18	4.0	3.541748046874999e-05	29
19	0.0	7.083129882812497e-06	5
19	0.1	8.085632324218747e-06	5
19	100000.0	5.977783203124998e-06	5
19	1.0	1.1929931640625e-05	5
19	0.01	8.01605224609375e-06	5
20	1.0	2.8841552734375e-05	23
20	100000.0	2.534423828125e-05	23
20	0.1	3.0592041015624986e-05	23
20	0.01	2.8138427734375e-05	23
20	0.0	2.924926757812499e-05	23
20	4.0	2.7863769531249995e-05	23
21	0.1	1.09295654296875e-05	9
21	1.0	1.0912475585937504e-05	9
21	100000.0	1.5875244140625007e-05	9
21	4.0	9.5013427734375e-06	9
21	0.0	1.2259521484374996e-05	9
21	0.01	1.2252197265624995e-05	9
22	4.0	5.373840332031248e-06	5
22	1.0	4.18914794921875e-06	5
22	0.01	6.907653808593748e-06	5
22	100000.0	1.3858032226562503e-05	5
22	0.1	5.19256591796875e-06	5
22	0.0	7.22076416015625e-06	5
23	0.1	5.9118652343749976e-06	4
23	1.0	5.135803222656248e-06	4
23	0.0	5.8535766601562486e-06	4
23	0.01	5.5520629882812486e-06	4
23	4.0	3.018646240234374e-06	4
23	100000.0	7.257843017578123e-07	4
24	1.0	9.937744140625e-06	10
24	0.01	1.2656249999999996e-05	10
24	0.0	1.2603759765624998e-05	10
24	4.0	1.1051635742187497e-05	10
24	100000.0	1.1945800781250005e-05	10
24	0.1	1.0585937500000002e-05	10
25	1.0	7.107543945312497e-06	7
25	4.0	7.004394531249997e-06	7
25	0.1	8.45947265625e-06	7
25	100000.0	6.8707275390624985e-06	7
25	0.0	9.353027343749998e-06	7
25	0.01	9.151000976562497e-06	7
26	4.0	4.324951171875e-06	2
26	0.0	3.6120605468749994e-06	2
26	1.0	3.5644531249999983e-06	2
26	0.01	4.6322631835937486e-06	2
26	100000.0	5.1849365234375016e-06	2
26	0.1	4.367370605468751e-06	2
27	0.1	1.18389892578125e-05	7
27	1.0	6.281738281249998e-06	7
27	0.0	8.948059082031247e-06	7
27	100000.0	3.939208984375002e-06	7
27	4.0	2.3664855957031242e-06	7
27	0.01	1.0882568359374997e-05	7
28	0.1	3.0488281249999988e-05	24
28	1.0	3.0991210937499986e-05	24
28	0.01	3.144653320312499e-05	24
28	100000.0	2.9481201171875e-05	24
28	0.0	3.0665283203124985e-05	24
29	0.1	3.70654296875e-05	30
29	100000.0	3.833496093750001e-05	30
29	0.01	3.659423828125e-05	30
29	1.0	3.5004882812499995e-05	30
29	0.0	3.833251953125e-05	30
30	0.01	8.18756103515625e-06	6
30	1.0	2.5595092773437496e-06	6
30	0.1	8.014526367187497e-06	6
30	100000.0	4.487304687500002e-06	6
30	0.0	8.07586669921875e-06	6
30	4.0	2.481536865234374e-06	6
31	0.0	2.1756591796875e-05	17
31	1.0	1.949951171875e-05	17
31	100000.0	1.6162109375e-05	17
31	0.01	2.262084960937499e-05	17
31	0.1	2.2680664062499992e-05	17
32	0.01	1.3328247070312495e-05	10
32	1.0	1.3080444335937495e-05	10
32	0.1	1.37939453125e-05	10
32	0.0	1.2858276367187496e-05	10
32	100000.0	9.248046875e-06	10
32	4.0	1.2144775390625e-05	10
33	0.1	2.3516845703125e-05	21
33	0.0	2.7333984375e-05	21
33	0.01	2.6614990234374993e-05	21
33	100000.0	2.32666015625e-05	21
33	1.0	2.2996826171875e-05	21
34	4.0	5.648803710937498e-06	6
34	0.01	8.662719726562497e-06	6
34	1.0	7.254028320312497e-06	6
34	0.1	8.732299804687495e-06	6
34	100000.0	4.5849609375e-06	6
34	0.0	8.050842285156246e-06	6
35	100000.0	1.2614135742187505e-05	13
35	0.0	1.6649169921874998e-05	13
35	0.01	1.6307983398437496e-05	13
35	0.1	1.61328125e-05	13
35	1.0	1.6912841796874994e-05	13
36	4.0	2.9544677734375e-05	21
36	1.0	2.7211914062499994e-05	21
36	0.1	2.727783203125e-05	21
36	0.0	2.736450195312499e-05	21
36	100000.0	2.5501708984375e-05	21
36	0.01	2.7603759765625e-05	21
37	0.1	2.4260253906249993e-05	11
37	0.0	1.4338989257812497e-05	11
37	0.01	1.38641357421875e-05	11
37	1.0	2.69091796875e-05	11
37	100000.0	1.9633789062500005e-05	11
38	0.0	3.6151123046875e-06	2
38	100000.0	6.7901611328125e-06	2
38	4.0	2.69287109375e-06	2
38	0.01	3.847656249999998e-06	2
38	0.1	4.0206909179687485e-06	2
38	1.0	2.1665954589843742e-06	2
39	1.0	2.095947265625e-05	14
39	100000.0	1.0436401367187497e-05	14
39	0.01	1.7395019531249995e-05	14
39	0.0	1.7670898437499993e-05	14
39	0.1	1.7347412109374995e-05	14
40	0.01	2.3497314453124993e-05	18
40	1.0	2.092163085937499e-05	18
40	0.1	2.1827392578124993e-05	18
40	100000.0	2.1931152343750005e-05	18
40	0.0	2.3341064453125e-05	18
41	0.01	1.3563232421874995e-05	10
41	100000.0	1.4933471679687503e-05	10
41	0.1	1.3068237304687496e-05	10
41	1.0	1.4130859374999993e-05	10
41	0.0	1.3573608398437495e-05	10
42	0.0	3.585693359375e-05	28
42	100000.0	3.450927734375001e-06	28
42	1.0	3.5368652343749986e-05	28
42	0.1	3.583251953125e-05	28
42	4.0	3.5654296874999994e-05	28
42	0.01	3.4631347656249994e-05	28
43	100000.0	2.3687744140625e-05	20
43	1.0	2.611450195312499e-05	20
43	0.1	2.6221923828124993e-05	20
43	0.01	2.6041259765625e-05	20
43	0.0	2.6065673828125e-05	20
44	100000.0	6.997680664062497e-06	3
44	1.0	5.486450195312498e-06	3
